X, Y0
3.8634,0.0026
3.8756,0.0030
3.8877,0.0027
3.8998,0.0031
3.9119,0.0030
3.9240,0.0028
3.9361,0.0031
3.9482,0.0022
3.9603,0.0026
3.9724,0.0020
3.9846,0.0027
3.9967,0.0028
4.0088,0.0026
4.0209,0.0028
4.0330,0.0022
4.0451,0.0025
4.0572,0.0022
4.0693,0.0022
4.0814,0.0020
4.0936,0.0018
4.1057,0.0022
4.1178,0.0024
4.1299,0.0024
4.1420,0.0025
4.1541,0.0025
4.1662,0.0022
4.1783,0.0019
4.1904,0.0023
4.2026,0.0022
4.2147,0.0019
4.2268,0.0022
4.2389,0.0021
4.2510,0.0022
4.2631,0.0025
4.2752,0.0027
4.2873,0.0022
4.2994,0.0022
4.3116,0.0025
4.3237,0.0021
4.3358,0.0026
4.3479,0.0022
4.3600,0.0022
4.3721,0.0022
4.3842,0.0025
4.3963,0.0021
4.4084,0.0025
4.4206,0.0026
4.4327,0.0018
4.4448,0.0022
4.4569,0.0028
4.4690,0.0022
4.4811,0.0025
4.4932,0.0025
4.5053,0.0023
4.5174,0.0026
4.5296,0.0022
4.5417,0.0027
4.5538,0.0022
4.5659,0.0028
4.5780,0.0028
4.5901,0.0028
4.6022,0.0027
4.6143,0.0029
4.6264,0.0027
4.6386,0.0026
4.6507,0.0028
4.6628,0.0028
4.6749,0.0029
4.6870,0.0035
4.6991,0.0032
4.7112,0.0034
4.7233,0.0033
4.7354,0.0036
4.7476,0.0037
4.7597,0.0036
4.7718,0.0038
4.7839,0.0038
4.7960,0.0038
4.8081,0.0042
4.8202,0.0044
4.8323,0.0045
4.8444,0.0045
4.8566,0.0048
4.8687,0.0052
4.8808,0.0048
4.8929,0.0049
4.9050,0.0054
4.9171,0.0054
4.9292,0.0054
4.9413,0.0058
4.9534,0.0063
4.9656,0.0063
4.9777,0.0069
4.9898,0.0070
5.0019,0.0071
5.0140,0.0071
5.0261,0.0080
5.0382,0.0082
5.0503,0.0082
5.0624,0.0087
5.0746,0.0086
5.0867,0.0092
5.0988,0.0094
5.1109,0.0094
5.1230,0.0101
5.1351,0.0107
5.1472,0.0108
5.1593,0.0113
5.1714,0.0114
5.1836,0.0120
5.1957,0.0120
5.2078,0.0129
5.2199,0.0134
5.2320,0.0133
5.2441,0.0140
5.2562,0.0141
5.2683,0.0149
5.2804,0.0152
5.2926,0.0156
5.3047,0.0161
5.3168,0.0169
5.3289,0.0172
5.3410,0.0170
5.3531,0.0179
5.3652,0.0181
5.3773,0.0190
5.3894,0.0191
5.4016,0.0201
5.4137,0.0201
5.4258,0.0208
5.4379,0.0213
5.4500,0.0216
5.4621,0.0219
5.4742,0.0222
5.4863,0.0229
5.4984,0.0230
5.5106,0.0233
5.5227,0.0239
5.5348,0.0248
5.5469,0.0245
5.5590,0.0248
5.5711,0.0252
5.5832,0.0257
5.5953,0.0258
5.6074,0.0265
5.6196,0.0265
5.6317,0.0268
5.6438,0.0268
5.6559,0.0274
5.6680,0.0275
5.6801,0.0272
5.6922,0.0274
5.7043,0.0276
5.7164,0.0275
5.7286,0.0270
5.7407,0.0270
5.7528,0.0273
5.7649,0.0265
5.7770,0.0271
5.7891,0.0259
5.8012,0.0271
5.8133,0.0259
5.8254,0.0257
5.8376,0.0255
5.8497,0.0254
5.8618,0.0251
5.8739,0.0248
5.8860,0.0248
5.8981,0.0239
5.9102,0.0241
5.9223,0.0232
5.9344,0.0232
5.9466,0.0225
5.9587,0.0224
5.9708,0.0218
5.9829,0.0215
5.9950,0.0206
6.0071,0.0205
6.0192,0.0205
6.0313,0.0194
6.0434,0.0189
6.0556,0.0185
6.0677,0.0183
6.0798,0.0176
6.0919,0.0176
6.1040,0.0166
6.1161,0.0166
6.1282,0.0156
6.1403,0.0153
6.1524,0.0150
6.1646,0.0142
6.1767,0.0144
6.1888,0.0133
6.2009,0.0136
6.2130,0.0127
6.2251,0.0126
6.2372,0.0120
6.2493,0.0111
6.2614,0.0114
6.2736,0.0103
6.2857,0.0105
6.2978,0.0100
6.3099,0.0100
6.3220,0.0091
6.3341,0.0096
6.3462,0.0087
6.3583,0.0083
6.3704,0.0081
6.3826,0.0075
6.3947,0.0073
6.4068,0.0072
6.4189,0.0062
6.4310,0.0064
6.4431,0.0064
6.4552,0.0061
6.4673,0.0061
6.4794,0.0056
6.4916,0.0054
6.5037,0.0049
6.5158,0.0051
6.5279,0.0045
6.5400,0.0051
6.5521,0.0048
6.5642,0.0045
6.5763,0.0042
6.5884,0.0043
6.6006,0.0039
6.6127,0.0036
6.6248,0.0039
6.6369,0.0032
6.6490,0.0035
6.6611,0.0037
6.6732,0.0034
6.6853,0.0029
6.6974,0.0026
6.7096,0.0030
6.7217,0.0030
6.7338,0.0033
6.7459,0.0025
6.7580,0.0022
6.7701,0.0029
6.7822,0.0026
6.7943,0.0025
6.8064,0.0028
6.8186,0.0027
6.8307,0.0027
6.8428,0.0022
6.8549,0.0022
6.8670,0.0022
6.8791,0.0025
6.8912,0.0022
6.9033,0.0024
6.9154,0.0020
6.9276,0.0020
6.9397,0.0021
6.9518,0.0022
6.9639,0.0022
6.9760,0.0022
6.9881,0.0022
7.0002,0.0018
7.0123,0.0022
7.0244,0.0020
7.0366,0.0022
7.0487,0.0021
7.0608,0.0018
7.0729,0.0022
7.0850,0.0022
7.0971,0.0019
7.1092,0.0019
7.1213,0.0019
7.1334,0.0017
7.1456,0.0018
7.1577,0.0021
7.1698,0.0021
7.1819,0.0018
7.1940,0.0018
7.2061,0.0021
7.2182,0.0018
7.2303,0.0017
7.2424,0.0022
7.2546,0.0016
7.2667,0.0018
7.2788,0.0018
7.2909,0.0022
7.3030,0.0015
7.3151,0.0022
7.3272,0.0018
7.3393,0.0022
7.3514,0.0017
7.3636,0.0020
7.3757,0.0017
7.3878,0.0016
7.3999,0.0015
7.4120,0.0018
7.4241,0.0021
7.4362,0.0018
7.4483,0.0016
7.4604,0.0015
7.4726,0.0015
7.4847,0.0014
7.4968,0.0012
7.5089,0.0015
7.5210,0.0018
7.5331,0.0016
7.5452,0.0020
7.5573,0.0015
7.5694,0.0018
7.5816,0.0018
7.5937,0.0018
7.6058,0.0021
7.6179,0.0018
7.6300,0.0015
7.6421,0.0015
7.6542,0.0019
7.6663,0.0014
7.6784,0.0017
7.6906,0.0013
7.7027,0.0014
7.7148,0.0018
7.7269,0.0019
7.7390,0.0015
7.7511,0.0018
7.7632,0.0016
7.7753,0.0016
7.7874,0.0018
7.7996,0.0016
7.8117,0.0015
7.8238,0.0018
7.8359,0.0015
7.8480,0.0018
7.8601,0.0018
7.8722,0.0018
7.8843,0.0013
7.8964,0.0015
7.9086,0.0016
7.9207,0.0014
7.9328,0.0020
7.9449,0.0015
7.9570,0.0018
7.9691,0.0014
7.9812,0.0017
7.9933,0.0017
8.0054,0.0015
8.0176,0.0018
8.0297,0.0015
8.0418,0.0018
8.0539,0.0015
8.0660,0.0015
8.0781,0.0012
8.0902,0.0015
8.1023,0.0018
8.1144,0.0016
8.1266,0.0018
8.1387,0.0019
8.1508,0.0013
8.1629,0.0019
8.1750,0.0015
8.1871,0.0012
8.1992,0.0017
8.2113,0.0018
8.2234,0.0015
8.2356,0.0019
8.2477,0.0015
8.2598,0.0018
8.2719,0.0015
8.2840,0.0015
8.2961,0.0015
8.3082,0.0014
8.3203,0.0017
8.3324,0.0014
8.3446,0.0020
8.3567,0.0015
8.3688,0.0017
8.3809,0.0015
8.3930,0.0015
8.4051,0.0021
8.4172,0.0012
8.4293,0.0014
8.4414,0.0012
8.4536,0.0017
8.4657,0.0014
8.4778,0.0015
8.4899,0.0015
8.5020,0.0015
8.5141,0.0015
8.5262,0.0009
8.5383,0.0017
8.5504,0.0013
8.5626,0.0018
8.5747,0.0016
8.5868,0.0012
8.5989,0.0012
8.6110,0.0012
8.6231,0.0018
8.6352,0.0018
8.6473,0.0015
8.6594,0.0012
8.6716,0.0012
8.6837,0.0013
8.6958,0.0015
8.7079,0.0018
8.7200,0.0018
8.7321,0.0019
8.7442,0.0015
8.7563,0.0013
8.7684,0.0018
8.7806,0.0015
8.7927,0.0016
8.8048,0.0012
8.8169,0.0015
8.8290,0.0015
8.8411,0.0018
8.8532,0.0016
8.8653,0.0017
8.8774,0.0017
8.8896,0.0018
8.9017,0.0018
8.9138,0.0018
8.9259,0.0018
8.9380,0.0015
8.9501,0.0018
8.9622,0.0014
8.9743,0.0014
8.9864,0.0017
8.9986,0.0015
9.0107,0.0018
9.0228,0.0018
9.0349,0.0012
9.0470,0.0018
9.0591,0.0015
9.0712,0.0018
9.0833,0.0018
9.0954,0.0019
9.1076,0.0016
9.1197,0.0017
9.1318,0.0015
9.1439,0.0015
9.1560,0.0015
9.1681,0.0018
9.1802,0.0018
9.1923,0.0015
9.2044,0.0017
9.2166,0.0015
9.2287,0.0015
9.2408,0.0016
9.2529,0.0015
9.2650,0.0012
9.2771,0.0021
9.2892,0.0018
9.3013,0.0015
9.3134,0.0018
9.3256,0.0017
9.3377,0.0016
9.3498,0.0018
9.3619,0.0015
9.3740,0.0022
9.3861,0.0021
9.3982,0.0019
9.4103,0.0018
9.4224,0.0018
9.4346,0.0015
9.4467,0.0019
9.4588,0.0018
9.4709,0.0015
9.4830,0.0012
9.4951,0.0015
9.5072,0.0018
9.5193,0.0017
9.5314,0.0022
9.5436,0.0016
9.5557,0.0015
9.5678,0.0016
9.5799,0.0018
9.5920,0.0008
9.6041,0.0018
9.6162,0.0019
9.6283,0.0018
9.6404,0.0014
9.6526,0.0015
9.6647,0.0015
9.6768,0.0018
9.6889,0.0018
9.7010,0.0012
9.7131,0.0015
9.7252,0.0018
9.7373,0.0018
9.7494,0.0017
9.7616,0.0015
9.7737,0.0019
9.7858,0.0016
9.7979,0.0018
9.8100,0.0015
9.8221,0.0022
9.8342,0.0019
9.8463,0.0011
9.8584,0.0018
9.8706,0.0015
9.8827,0.0017
9.8948,0.0018
9.9069,0.0015
9.9190,0.0018
9.9311,0.0012
9.9432,0.0018
9.9553,0.0015
9.9674,0.0015
9.9796,0.0015
9.9917,0.0018
10.0038,0.0018
10.0159,0.0015
10.0280,0.0015
10.0401,0.0012
10.0522,0.0018
10.0643,0.0015
10.0764,0.0013
10.0886,0.0015
10.1007,0.0014
10.1128,0.0018
10.1249,0.0018
10.1370,0.0018
10.1491,0.0018
10.1612,0.0018
10.1733,0.0015
10.1854,0.0015
10.1976,0.0015
10.2097,0.0016
10.2218,0.0018
10.2339,0.0018
10.2460,0.0018
10.2581,0.0015
10.2702,0.0015
10.2823,0.0015
10.2944,0.0018
10.3066,0.0014
10.3187,0.0016
10.3308,0.0016
10.3429,0.0018
10.3550,0.0015
10.3671,0.0012
10.3792,0.0018
10.3913,0.0016
10.4034,0.0014
10.4156,0.0013
10.4277,0.0015
10.4398,0.0015
10.4519,0.0015
10.4640,0.0022
10.4761,0.0015
10.4882,0.0016
10.5003,0.0014
10.5124,0.0015
10.5246,0.0015
10.5367,0.0015
10.5488,0.0015
10.5609,0.0015
10.5730,0.0015
10.5851,0.0015
10.5972,0.0018
10.6093,0.0017
10.6214,0.0015
10.6336,0.0011
10.6457,0.0018
10.6578,0.0014
10.6699,0.0017
10.6820,0.0012
10.6941,0.0018
10.7062,0.0014
10.7183,0.0013
10.7304,0.0017
10.7426,0.0018
10.7547,0.0016
10.7668,0.0012
10.7789,0.0015
10.7910,0.0018
10.8031,0.0012
10.8152,0.0015
10.8273,0.0015
10.8394,0.0018
10.8516,0.0015
10.8637,0.0015
10.8758,0.0016
10.8879,0.0015
10.9000,0.0012
10.9121,0.0012
10.9242,0.0016
10.9363,0.0015
10.9484,0.0012
10.9606,0.0017
10.9727,0.0017
10.9848,0.0016
10.9969,0.0015
11.0090,0.0015
11.0211,0.0015
11.0332,0.0014
11.0453,0.0013
11.0574,0.0015
11.0696,0.0015
11.0817,0.0017
11.0938,0.0011
11.1059,0.0015
11.1180,0.0012
11.1301,0.0015
11.1422,0.0014
11.1543,0.0016
11.1664,0.0017
11.1786,0.0016
11.1907,0.0013
11.2028,0.0015
11.2149,0.0015
11.2270,0.0015
11.2391,0.0015
11.2512,0.0014
11.2633,0.0017
11.2754,0.0018
11.2876,0.0014
11.2997,0.0014
11.3118,0.0016
11.3239,0.0015
11.3360,0.0015
11.3481,0.0015
11.3602,0.0012
11.3723,0.0017
11.3844,0.0015
11.3966,0.0012
11.4087,0.0012
11.4208,0.0012
11.4329,0.0018
11.4450,0.0015
11.4571,0.0015
11.4692,0.0011
11.4813,0.0015
11.4934,0.0014
11.5056,0.0014
11.5177,0.0011
11.5298,0.0016
11.5419,0.0015
11.5540,0.0015
11.5661,0.0015
11.5782,0.0016
11.5903,0.0016
11.6024,0.0015
11.6146,0.0017
11.6267,0.0014
11.6388,0.0014
11.6509,0.0015
11.6630,0.0015
11.6751,0.0009
11.6872,0.0012
11.6993,0.0013
11.7114,0.0015
11.7236,0.0015
11.7357,0.0015
11.7478,0.0018
11.7599,0.0012
11.7720,0.0018
11.7841,0.0018
11.7962,0.0012
11.8083,0.0015
11.8204,0.0013
11.8326,0.0013
11.8447,0.0017
11.8568,0.0010
11.8689,0.0012
11.8810,0.0012
11.8931,0.0015
11.9052,0.0015
11.9173,0.0014
11.9294,0.0013
11.9416,0.0013
11.9537,0.0016
11.9658,0.0016
11.9779,0.0018
11.9900,0.0015
12.0021,0.0015
12.0142,0.0015
12.0263,0.0014
12.0384,0.0016
12.0506,0.0015
12.0627,0.0012
12.0748,0.0018
12.0869,0.0014
12.0990,0.0012
