X, Y0
9.7709,0.1225
9.8015,0.1164
9.8321,0.1113
9.8627,0.1066
9.8934,0.1015
9.9240,0.0978
9.9546,0.0934
9.9853,0.0890
10.0159,0.0860
10.0465,0.0830
10.0771,0.0795
10.1078,0.0771
10.1384,0.0747
10.1690,0.0718
10.1997,0.0693
10.2303,0.0673
10.2609,0.0653
10.2916,0.0632
10.3222,0.0618
10.3528,0.0594
10.3834,0.0581
10.4141,0.0564
10.4447,0.0545
10.4753,0.0533
10.5060,0.0518
10.5366,0.0503
10.5672,0.0492
10.5979,0.0479
10.6285,0.0464
10.6591,0.0452
10.6897,0.0445
10.7204,0.0433
10.7510,0.0419
10.7816,0.0412
10.8123,0.0402
10.8429,0.0387
10.8735,0.0387
10.9041,0.0377
10.9348,0.0364
10.9654,0.0357
10.9960,0.0347
11.0267,0.0342
11.0573,0.0333
11.0879,0.0334
11.1186,0.0322
11.1492,0.0323
11.1798,0.0314
11.2104,0.0306
11.2411,0.0311
11.2717,0.0298
11.3023,0.0294
11.3330,0.0288
11.3636,0.0285
11.3942,0.0275
11.4249,0.0278
11.4555,0.0271
11.4861,0.0268
11.5167,0.0266
11.5474,0.0258
11.5780,0.0252
11.6086,0.0248
11.6393,0.0248
11.6699,0.0248
11.7005,0.0242
11.7311,0.0241
11.7618,0.0233
11.7924,0.0234
11.8230,0.0232
11.8537,0.0229
11.8843,0.0225
11.9149,0.0228
11.9456,0.0219
11.9762,0.0218
12.0068,0.0216
12.0374,0.0214
12.0681,0.0216
12.0987,0.0211
12.1293,0.0214
12.1600,0.0206
12.1906,0.0212
12.2212,0.0206
12.2519,0.0205
12.2825,0.0207
12.3131,0.0206
12.3437,0.0203
12.3744,0.0201
12.4050,0.0206
12.4356,0.0200
12.4663,0.0205
12.4969,0.0202
12.5275,0.0201
12.5581,0.0202
12.5888,0.0199
12.6194,0.0197
12.6500,0.0193
12.6807,0.0205
12.7113,0.0201
12.7419,0.0202
12.7726,0.0201
12.8032,0.0202
12.8338,0.0202
12.8644,0.0209
12.8951,0.0206
12.9257,0.0206
12.9563,0.0209
12.9870,0.0212
13.0176,0.0214
13.0482,0.0217
13.0789,0.0218
13.1095,0.0220
13.1401,0.0225
13.1707,0.0226
13.2014,0.0232
13.2320,0.0242
13.2626,0.0241
13.2933,0.0242
13.3239,0.0244
13.3545,0.0245
13.3851,0.0248
13.4158,0.0254
13.4464,0.0254
13.4770,0.0258
13.5077,0.0261
13.5383,0.0257
13.5689,0.0258
13.5996,0.0265
13.6302,0.0262
13.6608,0.0262
13.6914,0.0267
13.7221,0.0265
13.7527,0.0261
13.7833,0.0265
13.8140,0.0265
13.8446,0.0259
13.8752,0.0256
13.9059,0.0257
13.9365,0.0255
13.9671,0.0251
13.9977,0.0251
14.0284,0.0246
14.0590,0.0242
14.0896,0.0238
14.1203,0.0232
14.1509,0.0232
14.1815,0.0229
14.2121,0.0216
14.2428,0.0213
14.2734,0.0214
14.3040,0.0209
14.3347,0.0209
14.3653,0.0199
14.3959,0.0196
14.4266,0.0186
14.4572,0.0182
14.4878,0.0174
14.5184,0.0175
14.5491,0.0166
14.5797,0.0163
14.6103,0.0158
14.6410,0.0159
14.6716,0.0153
14.7022,0.0147
14.7329,0.0143
14.7635,0.0145
14.7941,0.0137
14.8247,0.0134
14.8554,0.0133
14.8860,0.0133
14.9166,0.0128
14.9473,0.0126
14.9779,0.0124
15.0085,0.0125
15.0391,0.0126
15.0698,0.0124
15.1004,0.0119
15.1310,0.0120
15.1617,0.0116
15.1923,0.0118
15.2229,0.0120
15.2536,0.0115
15.2842,0.0107
15.3148,0.0116
15.3454,0.0114
15.3761,0.0114
15.4067,0.0112
15.4373,0.0110
15.4680,0.0113
15.4986,0.0110
15.5292,0.0108
15.5599,0.0110
15.5905,0.0107
15.6211,0.0104
15.6517,0.0102
15.6824,0.0107
15.7130,0.0107
15.7436,0.0108
15.7743,0.0105
15.8049,0.0106
15.8355,0.0109
15.8661,0.0104
15.8968,0.0103
15.9274,0.0105
15.9580,0.0107
15.9887,0.0102
16.0193,0.0102
16.0499,0.0104
16.0806,0.0101
16.1112,0.0101
16.1418,0.0103
16.1724,0.0102
16.2031,0.0101
16.2337,0.0101
16.2643,0.0103
16.2950,0.0101
16.3256,0.0101
16.3562,0.0100
16.3869,0.0101
16.4175,0.0104
16.4481,0.0101
16.4787,0.0101
16.5094,0.0097
16.5400,0.0094
16.5706,0.0099
16.6013,0.0095
16.6319,0.0095
16.6625,0.0096
16.6931,0.0098
16.7238,0.0096
16.7544,0.0101
16.7850,0.0101
16.8157,0.0101
16.8463,0.0098
16.8769,0.0097
16.9076,0.0104
16.9382,0.0103
16.9688,0.0101
16.9994,0.0101
17.0301,0.0101
17.0607,0.0100
17.0913,0.0098
17.1220,0.0101
17.1526,0.0104
17.1832,0.0101
17.2139,0.0101
17.2445,0.0099
17.2751,0.0094
17.3057,0.0097
17.3364,0.0095
17.3670,0.0094
17.3976,0.0098
17.4283,0.0101
17.4589,0.0101
17.4895,0.0101
17.5201,0.0104
17.5508,0.0101
17.5814,0.0104
17.6120,0.0104
17.6427,0.0101
17.6733,0.0104
17.7039,0.0104
17.7346,0.0110
17.7652,0.0104
17.7958,0.0107
17.8264,0.0110
17.8571,0.0107
17.8877,0.0114
17.9183,0.0116
17.9490,0.0114
17.9796,0.0118
18.0102,0.0120
18.0409,0.0123
18.0715,0.0127
18.1021,0.0130
18.1327,0.0127
18.1634,0.0139
18.1940,0.0137
18.2246,0.0142
18.2553,0.0143
18.2859,0.0147
18.3165,0.0153
18.3471,0.0159
18.3778,0.0156
18.4084,0.0164
18.4390,0.0169
18.4697,0.0176
18.5003,0.0176
18.5309,0.0179
18.5616,0.0179
18.5922,0.0181
18.6228,0.0187
18.6534,0.0189
18.6841,0.0192
18.7147,0.0192
18.7453,0.0194
18.7760,0.0196
18.8066,0.0198
18.8372,0.0193
18.8679,0.0199
18.8985,0.0199
18.9291,0.0200
18.9597,0.0197
18.9904,0.0198
19.0210,0.0202
19.0516,0.0196
19.0823,0.0191
19.1129,0.0190
19.1435,0.0193
19.1741,0.0189
19.2048,0.0187
19.2354,0.0188
19.2660,0.0189
19.2967,0.0179
19.3273,0.0180
19.3579,0.0173
19.3886,0.0174
19.4192,0.0172
19.4498,0.0166
19.4804,0.0164
19.5111,0.0163
19.5417,0.0160
19.5723,0.0156
19.6030,0.0150
19.6336,0.0147
19.6642,0.0149
19.6949,0.0147
19.7255,0.0142
19.7561,0.0140
19.7867,0.0142
19.8174,0.0142
19.8480,0.0137
19.8786,0.0135
19.9093,0.0135
19.9399,0.0140
19.9705,0.0133
20.0011,0.0137
20.0318,0.0134
20.0624,0.0133
20.0930,0.0133
20.1237,0.0131
20.1543,0.0132
20.1849,0.0133
20.2156,0.0133
20.2462,0.0133
20.2768,0.0133
20.3074,0.0132
20.3381,0.0133
20.3687,0.0137
20.3993,0.0134
20.4300,0.0133
20.4606,0.0131
20.4912,0.0130
20.5219,0.0133
20.5525,0.0137
20.5831,0.0137
20.6137,0.0139
20.6444,0.0137
20.6750,0.0137
20.7056,0.0138
20.7363,0.0138
20.7669,0.0143
20.7975,0.0142
20.8281,0.0140
20.8588,0.0140
20.8894,0.0146
20.9200,0.0143
20.9507,0.0145
20.9813,0.0147
21.0119,0.0150
21.0426,0.0148
21.0732,0.0148
21.1038,0.0153
21.1344,0.0155
21.1651,0.0153
21.1957,0.0155
21.2263,0.0158
21.2570,0.0163
21.2876,0.0165
21.3182,0.0163
21.3489,0.0164
21.3795,0.0170
21.4101,0.0173
21.4407,0.0175
21.4714,0.0173
21.5020,0.0179
21.5326,0.0184
21.5633,0.0188
21.5939,0.0187
21.6245,0.0191
21.6551,0.0196
21.6858,0.0203
21.7164,0.0206
21.7470,0.0212
21.7777,0.0213
21.8083,0.0217
21.8389,0.0222
21.8696,0.0228
21.9002,0.0233
21.9308,0.0238
21.9614,0.0248
21.9921,0.0255
22.0227,0.0260
22.0533,0.0270
22.0840,0.0281
22.1146,0.0285
22.1452,0.0297
22.1759,0.0307
22.2065,0.0313
22.2371,0.0324
22.2677,0.0338
22.2984,0.0348
22.3290,0.0364
22.3596,0.0382
22.3903,0.0401
22.4209,0.0410
22.4515,0.0438
22.4821,0.0455
22.5128,0.0469
22.5434,0.0495
22.5740,0.0515
22.6047,0.0538
22.6353,0.0573
22.6659,0.0597
22.6966,0.0626
22.7272,0.0665
22.7578,0.0695
22.7884,0.0729
22.8191,0.0775
22.8497,0.0817
22.8803,0.0864
22.9110,0.0932
22.9416,0.0993
22.9722,0.1059
23.0029,0.1150
23.0335,0.1243
23.0641,0.1337
23.0947,0.1458
23.1254,0.1578
23.1560,0.1682
23.1866,0.1853
23.2173,0.2018
23.2479,0.2172
23.2785,0.2382
23.3091,0.2593
23.3398,0.2775
23.3704,0.3021
23.4010,0.3307
23.4317,0.3535
23.4623,0.3839
23.4929,0.4185
23.5236,0.4461
23.5542,0.4835
23.5848,0.5293
23.6154,0.5656
23.6461,0.6163
23.6767,0.6779
23.7073,0.7183
23.7380,0.7670
23.7686,0.8354
23.7992,0.8887
23.8299,0.9495
23.8605,1.0254
23.8911,1.0739
23.9217,1.1216
23.9524,1.2004
23.9830,1.2559
24.0136,1.3107
24.0443,1.3871
24.0749,1.4277
24.1055,1.4508
24.1361,1.5105
24.1668,1.5453
24.1974,1.5603
24.2280,1.5962
24.2587,1.6057
24.2893,1.5748
24.3199,1.5753
24.3506,1.5658
24.3812,1.5230
24.4118,1.4945
24.4424,1.4546
24.4731,1.3783
